dataset,embedding,rejection_method,classifier,num_known,num_unknown,seed,threshold,ACC_known,ACC_unknown,AUROC,OSCR
domestic,clap,global_threshold,cosine,30,20,0,0.5240769386291504,0.9916666666666667,0.375,0.9800520833333334,0.9762890625000002
domestic,clap,global_threshold,cosine,20,30,0,0.6004290580749512,0.96875,0.8208333333333333,0.9754947916666666,0.9569531250000001
domestic,clap,global_threshold,cosine,15,35,0,0.6004290580749512,0.9583333333333334,0.8428571428571429,0.9763988095238096,0.9491517857142857
domestic,clap,global_threshold,cosine,10,40,0,0.6004290580749512,0.9875,0.859375,0.9909375,0.980625
domestic,clap,global_threshold,euclidean,30,20,0,-29.53318214416504,0.9916666666666667,0.36875,0.9801562500000001,0.9772526041666669
domestic,clap,global_threshold,euclidean,20,30,0,-26.97964859008789,0.96875,0.8166666666666667,0.9757291666666668,0.9569791666666667
domestic,clap,global_threshold,euclidean,15,35,0,-26.97964859008789,0.9583333333333334,0.8428571428571429,0.9763690476190476,0.9491071428571429
domestic,clap,global_threshold,euclidean,10,40,0,-26.97964859008789,0.9875,0.865625,0.991796875,0.9812109375
domestic,clap,global_threshold,mahalanobis,30,20,0,-151.83184814453125,0.9833333333333333,0.81875,0.983984375,0.9702473958333331
domestic,clap,global_threshold,mahalanobis,20,30,0,-143.3594207763672,0.91875,0.9416666666666667,0.9843489583333334,0.9123828124999999
domestic,clap,global_threshold,mahalanobis,15,35,0,-141.04483032226562,0.9166666666666666,0.9678571428571429,0.9903869047619048,0.9136160714285715
domestic,clap,global_threshold,mahalanobis,10,40,0,-122.203369140625,0.8875,0.975,0.9932421875,0.8859179687499997
domestic,clap,global_threshold,linear,30,20,0,0.9346745610237122,0.95,0.8875,0.9720572916666667,0.9393749999999997
domestic,clap,global_threshold,linear,20,30,0,0.9480522274971008,0.9375,0.9041666666666667,0.968359375,0.9244140625000002
domestic,clap,global_threshold,linear,15,35,0,0.9468196630477905,0.9333333333333333,0.8928571428571429,0.9725,0.9263095238095235
domestic,clap,global_threshold,linear,10,40,0,0.9844887256622314,0.9625,0.946875,0.994375,0.9595507812499999
domestic,clap,global_threshold,energy,30,20,0,7.863714218139648,0.9625,0.90625,0.9816666666666667,0.9530078124999999
domestic,clap,global_threshold,energy,20,30,0,7.56618595123291,0.9375,0.9291666666666667,0.9811979166666668,0.9290104166666668
domestic,clap,global_threshold,energy,15,35,0,7.25381326675415,0.9333333333333333,0.925,0.9814583333333333,0.9273065476190472
domestic,clap,global_threshold,energy,10,40,0,6.7828192710876465,0.95,0.95625,0.9958984375,0.94802734375
domestic,clap,global_threshold,openmax,30,20,0,-10.619361877441406,0.9708333333333333,0.71875,0.9728385416666666,0.9618098958333335
domestic,clap,global_threshold,openmax,20,30,0,-7.540647506713867,0.94375,0.8958333333333334,0.9696093749999999,0.9355989583333331
domestic,clap,global_threshold,openmax,15,35,0,-6.425268650054932,0.9416666666666667,0.9107142857142857,0.9619940476190476,0.930714285714286
domestic,clap,global_threshold,openmax,10,40,0,-5.5951457023620605,0.9875,0.86875,0.9913671875,0.9803515625
domestic,clap,class_threshold,cosine,30,20,0,"{0: 0.7269003987312317, 1: 0.8396216630935669, 2: 0.6737574338912964, 6: 0.7879914045333862, 7: 0.6567116975784302, 8: 0.7918063402175903, 10: 0.6642042398452759, 13: 0.65666663646698, 17: 0.8031349182128906, 19: 0.7970907092094421, 20: 0.6895884871482849, 21: 0.7418351173400879, 22: 0.6582211852073669, 23: 0.6452902555465698, 24: 0.7334282398223877, 26: 0.6159834861755371, 27: 0.7579669952392578, 29: 0.6525648236274719, 31: 0.6752046346664429, 33: 0.6004290580749512, 34: 0.6973886489868164, 36: 0.7452164888381958, 37: 0.6792457699775696, 38: 0.739710807800293, 39: 0.7059757113456726, 41: 0.6855935454368591, 43: 0.696628212928772, 44: 0.672836422920227, 46: 0.7939368486404419, 47: 0.5240769386291504}",0.9416666666666667,0.90625,0.9800520833333334,0.9332812499999998
domestic,clap,class_threshold,cosine,20,30,0,"{0: 0.7269003987312317, 2: 0.6737574338912964, 6: 0.7879914045333862, 7: 0.6567116975784302, 10: 0.6642042398452759, 17: 0.8031349182128906, 21: 0.7418351173400879, 22: 0.6582211852073669, 24: 0.7334282398223877, 26: 0.6159834861755371, 29: 0.6525648236274719, 31: 0.6752046346664429, 33: 0.6004290580749512, 34: 0.6973886489868164, 36: 0.7452164888381958, 37: 0.6792457699775696, 38: 0.739710807800293, 39: 0.7059757113456726, 44: 0.672836422920227, 46: 0.7939368486404419}",0.93125,0.925,0.9754947916666666,0.9222395833333332
domestic,clap,class_threshold,cosine,15,35,0,"{2: 0.6737574338912964, 6: 0.7879914045333862, 7: 0.6567116975784302, 10: 0.6642042398452759, 17: 0.8031349182128906, 21: 0.7418351173400879, 22: 0.6582211852073669, 24: 0.7334282398223877, 29: 0.6525648236274719, 31: 0.6752046346664429, 33: 0.6004290580749512, 34: 0.6973886489868164, 37: 0.6792457699775696, 39: 0.7059757113456726, 44: 0.672836422920227}",0.9166666666666666,0.9321428571428572,0.9763988095238096,0.9103571428571429
domestic,clap,class_threshold,cosine,10,40,0,"{6: 0.7879914045333862, 7: 0.6567116975784302, 10: 0.6642042398452759, 17: 0.8031349182128906, 21: 0.7418351173400879, 29: 0.6525648236274719, 33: 0.6004290580749512, 37: 0.6792457699775696, 39: 0.7059757113456726, 44: 0.672836422920227}",0.9625,0.953125,0.9909375,0.9563671874999999
domestic,clap,class_threshold,euclidean,30,20,0,"{0: -22.572370529174805, 1: -17.7138729095459, 2: -24.607343673706055, 6: -20.082117080688477, 7: -25.120033264160156, 8: -20.049102783203125, 10: -24.919214248657227, 13: -24.79964828491211, 17: -19.444181442260742, 19: -19.88019561767578, 20: -24.389074325561523, 21: -22.097999572753906, 22: -25.092975616455078, 23: -25.456960678100586, 24: -22.473237991333008, 26: -26.240251541137695, 27: -21.48578453063965, 29: -25.054792404174805, 31: -24.275014877319336, 33: -26.97964859008789, 34: -23.70810317993164, 36: -21.774051666259766, 37: -24.172006607055664, 38: -22.006052017211914, 39: -23.349645614624023, 41: -24.3918514251709, 43: -23.525415420532227, 44: -24.207359313964844, 46: -20.003538131713867, 47: -29.53318214416504}",0.9416666666666667,0.89375,0.9801562500000001,0.9342578124999997
domestic,clap,class_threshold,euclidean,20,30,0,"{0: -22.572370529174805, 2: -24.607343673706055, 6: -20.082117080688477, 7: -25.120033264160156, 10: -24.919214248657227, 17: -19.444181442260742, 21: -22.097999572753906, 22: -25.092975616455078, 24: -22.473237991333008, 26: -26.240251541137695, 29: -25.054792404174805, 31: -24.275014877319336, 33: -26.97964859008789, 34: -23.70810317993164, 36: -21.774051666259766, 37: -24.172006607055664, 38: -22.006052017211914, 39: -23.349645614624023, 44: -24.207359313964844, 46: -20.003538131713867}",0.93125,0.9208333333333333,0.9757291666666668,0.9224999999999999
domestic,clap,class_threshold,euclidean,15,35,0,"{2: -24.607343673706055, 6: -20.082117080688477, 7: -25.120033264160156, 10: -24.919214248657227, 17: -19.444181442260742, 21: -22.097999572753906, 22: -25.092975616455078, 24: -22.473237991333008, 29: -25.054792404174805, 31: -24.275014877319336, 33: -26.97964859008789, 34: -23.70810317993164, 37: -24.172006607055664, 39: -23.349645614624023, 44: -24.207359313964844}",0.9166666666666666,0.9285714285714286,0.9763690476190476,0.9106249999999999
domestic,clap,class_threshold,euclidean,10,40,0,"{6: -20.082117080688477, 7: -25.120033264160156, 10: -24.919214248657227, 17: -19.444181442260742, 21: -22.097999572753906, 29: -25.054792404174805, 33: -26.97964859008789, 37: -24.172006607055664, 39: -23.349645614624023, 44: -24.207359313964844}",0.9625,0.953125,0.991796875,0.95703125
domestic,clap,class_threshold,mahalanobis,30,20,0,"{0: -97.07568359375, 1: -70.39813232421875, 2: -131.36119079589844, 6: -88.15402221679688, 7: -114.40350341796875, 8: -92.73897552490234, 10: -111.74189758300781, 13: -121.24330139160156, 17: -84.67564392089844, 19: -98.99417114257812, 20: -117.9990234375, 21: -96.61618041992188, 22: -119.062744140625, 23: -133.01336669921875, 24: -107.05615234375, 26: -131.00881958007812, 27: -95.3129653930664, 29: -139.45863342285156, 31: -106.52072143554688, 33: -151.83184814453125, 34: -107.5087890625, 36: -126.90130615234375, 37: -114.05674743652344, 38: -117.7109375, 39: -130.5498809814453, 41: -110.6733627319336, 43: -126.60698699951172, 44: -131.1737060546875, 46: -87.0788803100586, 47: -143.31036376953125}",0.9,0.91875,0.983984375,0.8954427083333333
domestic,clap,class_threshold,mahalanobis,20,30,0,"{0: -97.09965515136719, 2: -126.7550048828125, 6: -88.49649810791016, 7: -121.59609985351562, 10: -112.04731750488281, 17: -82.44393920898438, 21: -118.76708984375, 22: -104.27264404296875, 24: -100.36616516113281, 26: -119.19694519042969, 29: -130.9888916015625, 31: -109.12958526611328, 33: -143.3594207763672, 34: -99.50630187988281, 36: -121.61737823486328, 37: -110.36473846435547, 38: -112.79295349121094, 39: -126.2396469116211, 44: -143.23727416992188, 46: -83.28611755371094}",0.8375,0.9708333333333333,0.9843489583333334,0.8339453125000001
