dataset,embedding,rejection_method,classifier,num_known,num_unknown,seed,threshold,ACC_known,ACC_unknown,AUROC,OSCR
esc50,clap,global_threshold,cosine,40,10,0,0.6004290580749512,0.978125,0.6625,0.977421875,0.9646679687500002
esc50,clap,global_threshold,cosine,30,20,0,0.5240769386291504,0.9916666666666667,0.375,0.9800520833333334,0.9762890625000002
esc50,clap,global_threshold,cosine,20,30,0,0.6004290580749512,0.96875,0.8208333333333333,0.9754947916666666,0.9569531250000001
esc50,clap,global_threshold,cosine,15,35,0,0.6004290580749512,0.9583333333333334,0.8428571428571429,0.9763988095238096,0.9491517857142857
esc50,clap,global_threshold,cosine,10,40,0,0.6004290580749512,0.9875,0.859375,0.9909375,0.980625
esc50,clap,global_threshold,euclidean,40,10,0,-26.97964859008789,0.978125,0.6875,0.9776171874999999,0.9643750000000001
esc50,clap,global_threshold,euclidean,30,20,0,-29.53318214416504,0.9916666666666667,0.36875,0.9801562500000001,0.9772526041666669
esc50,clap,global_threshold,euclidean,20,30,0,-26.97964859008789,0.96875,0.8166666666666667,0.9757291666666668,0.9569791666666667
esc50,clap,global_threshold,euclidean,15,35,0,-26.97964859008789,0.9583333333333334,0.8428571428571429,0.9763690476190476,0.9491071428571429
esc50,clap,global_threshold,euclidean,10,40,0,-26.97964859008789,0.9875,0.865625,0.991796875,0.9812109375
esc50,clap,global_threshold,mahalanobis,40,10,0,-154.76077270507812,0.984375,0.6875,0.9747265624999999,0.9629687499999996
esc50,clap,global_threshold,mahalanobis,30,20,0,-151.83184814453125,0.9833333333333333,0.81875,0.983984375,0.9702473958333331
esc50,clap,global_threshold,mahalanobis,20,30,0,-143.3594207763672,0.91875,0.9416666666666667,0.9843489583333334,0.9123828124999999
esc50,clap,global_threshold,mahalanobis,15,35,0,-141.04483032226562,0.9166666666666666,0.9678571428571429,0.9903869047619048,0.9136160714285715
esc50,clap,global_threshold,mahalanobis,10,40,0,-122.203369140625,0.8875,0.975,0.9932421875,0.8859179687499997
esc50,clap,global_threshold,linear,40,10,0,0.9280317425727844,0.928125,0.925,0.978046875,0.9216796875000002
esc50,clap,global_threshold,linear,30,20,0,0.9346745610237122,0.95,0.8875,0.9720572916666667,0.9393749999999997
esc50,clap,global_threshold,linear,20,30,0,0.9480522274971008,0.9375,0.9041666666666667,0.968359375,0.9244140625000002
esc50,clap,global_threshold,linear,15,35,0,0.9468196630477905,0.9333333333333333,0.8928571428571429,0.9725,0.9263095238095235
esc50,clap,global_threshold,linear,10,40,0,0.9844887256622314,0.9625,0.946875,0.994375,0.9595507812499999
esc50,clap,global_threshold,energy,40,10,0,8.304180145263672,0.9625,0.925,0.9894921875,0.9597656249999997
esc50,clap,global_threshold,energy,30,20,0,7.863714218139648,0.9625,0.90625,0.9816666666666667,0.9530078124999999
esc50,clap,global_threshold,energy,20,30,0,7.56618595123291,0.9375,0.9291666666666667,0.9811979166666668,0.9290104166666668
esc50,clap,global_threshold,energy,15,35,0,7.25381326675415,0.9333333333333333,0.925,0.9814583333333333,0.9273065476190472
esc50,clap,global_threshold,energy,10,40,0,6.7828192710876465,0.95,0.95625,0.9958984375,0.94802734375
esc50,clap,global_threshold,openmax,40,10,0,-12.685918807983398,0.975,0.5625,0.97390625,0.9645312499999998
esc50,clap,global_threshold,openmax,30,20,0,-10.619361877441406,0.9708333333333333,0.71875,0.9728385416666666,0.9618098958333335
esc50,clap,global_threshold,openmax,20,30,0,-7.540647506713867,0.94375,0.8958333333333334,0.9696093749999999,0.9355989583333331
esc50,clap,global_threshold,openmax,15,35,0,-6.425268650054932,0.9416666666666667,0.9107142857142857,0.9619940476190476,0.930714285714286
esc50,clap,global_threshold,openmax,10,40,0,-5.5951457023620605,0.9875,0.86875,0.9913671875,0.9803515625
